,birthyear,author,title,pub_year
991,1854.0,Clara Louise Burnham,Jewel: A Chapter in Her Life,
992,1865.0,Rudyard Kipling,Just So Stories,1902.0
993,1832.0,Louisa May Alcott,Jack and Jill,
994,1832.0,Louisa May Alcott,An Old-Fashioned Girl,1869.0
995,1832.0,Louisa May Alcott,Little Men: Life at Plumfield With Jo's Boys,
996,,Joseph Addison,Essays and Tales,
997,1836.0,Bret Harte,Flip: A California Romance,
998,1836.0,Bret Harte,Found at Blazing Star,
999,1874.0,Alfred Ollivant,"Bob, Son of Battle",
1000,1811.0,William Makepeace Thackeray,The Memoirs of Mr. Charles J. Yellowplush,
1001,1836.0,Bret Harte,The Queen of the Pirate Isle,1886.0
1002,1859.0,Irving Bacheller,Eben Holden: A Tale of the North Country,
1003,1830.0,Helen Hunt Jackson,Ramona,1884.0
1004,1832.0,Louisa May Alcott,"Rose in Bloom
A Sequel to ""Eight Cousins""",
1005,1870.0,Mary Johnston,To Have and to Hold,1899.0
1006,1860.0,Hamlin Garland,Main-Travelled Roads,1891.0
1007,1867.0,Arnold Bennett,The Grand Babylon Hôtel,
1008,1882.0,James Joyce,Dubliners,1914.0
1009,1838.0,Henry Adams,"Democracy, an American novel",
1010,,Marshall Saunders,Beautiful Joe: An Autobiography,
1011,1865.0,Rudyard Kipling,The Story of the Gadsbys,
1012,,Friedrich Heinrich Karl La Motte-Fouqué,Sintram and His Companions,
1013,1865.0,Rudyard Kipling,Under the Deodars,1888.0
1014,1870.0,1870-1916 Saki,Reginald,
1015,1843.0,Henry James,The Portrait of a Lady — Volume 1,
1016,1843.0,Henry James,The Portrait of a Lady — Volume 2,
1017,1856.0,H. Rider Haggard,The Ivory Child,1916.0
1018,1856.0,H. Rider Haggard,Black Heart and White Heart: A Zulu Idyll,
1019,1811.0,William Makepeace Thackeray,The Fatal Boots,
1020,1859.0,Arthur Conan Doyle,Sir Nigel,1906.0
1021,1862.0,O. Henry,Sixes and Sevens,
1022,1859.0,Arthur Conan Doyle,The Hound of the Baskervilles,1902.0
1023,1856.0,H. Rider Haggard,Elissa,1900.0
1024,1856.0,H. Rider Haggard,Moon of Israel: A Tale of the Exodus,
1025,1856.0,H. Rider Haggard,A Yellow God: An Idol of Africa,
1026,1836.0,Bret Harte,Cressy,1898.0
1027,1811.0,William Makepeace Thackeray,A Little Dinner at Timmins's,
1028,1815.0,Anthony Trollope,Framley Parsonage,1861.0
1029,1869.0,Melville Davisson Post,The Sleuth of St. James's Square,
1030,1836.0,Bret Harte,"The Twins of Table Mountain, and Other Stories",
1031,1805.0,William Harrison Ainsworth,Windsor Castle,1843.0
1032,1836.0,Bret Harte,A Sappho of Green Springs,
1033,1859.0,Fergus Hume,The Green Mummy,1908.0
1034,1843.0,Henry James,The Point of View,
1035,1843.0,Henry James,Washington Square,1880.0
1036,1865.0,Rudyard Kipling,The Light That Failed,1891.0
1037,1834.0,William Morris,"The House of the Wolfings
A Tale of the House of the Wolfings and All the Kindreds of the Mark Written in Prose and in Verse",
1038,1836.0,Bret Harte,Tales of the Argonauts,
1039,1879.0,E. M. Forster,Howards End,1910.0
1040,1856.0,H. Rider Haggard,The Wizard,1896.0
1041,1879.0,E. M. Forster,Howards End,1910.0
1042,1879.0,E. M. Forster,Where Angels Fear to Tread,1905.0
1043,1850.0,Octave Thanet,Stories of a Western Town,
1044,1840.0,May Agnes Fleming,The Midnight Queen,1865.0
1045,1882.0,W. B. M. Ferguson,Garrison's Finish: A Romance of the Race Course,
1046,1864.0,Robert Hichens,A Spirit in Prison,
1047,1840.0,Thomas Hardy,The Romantic Adventures of a Milkmaid,1883.0
1048,,Victor Appleton,Tom Swift and His Airship,1910.0
1049,1865.0,Rudyard Kipling,Stalky & Co.,1899.0
1050,1860.0,Charlotte Perkins Gilman,What Diantha Did,
1051,1873.0,Dorothy M. Richardson,"Pointed Roofs: Pilgrimage, Volume 1",
1052,1862.0,John Fox,A Cumberland Vendetta,
1053,1862.0,John Fox,The Last Stetson,
1054,1820.0,Lucretia P. Hale,The Peterkin papers,
